ID,lat,lon,hhw
Gx-6810,-64.3747,45.1576,6.805
Gx-6811,-64.3752,45.1588,6.796
Gx-6812,-64.3748,45.1596,6.795
Oak Point,-64.3648,45.1554,6.827
